,Year,Month,Day,Close
657,1982,10,21,0.40625
658,1982,10,22,0.429688
659,1982,10,25,0.40625
660,1982,10,26,0.40625
661,1982,10,27,0.411458
662,1982,10,28,0.401042
663,1982,10,29,0.386719
664,1982,11,01,0.388021
665,1982,11,02,0.390625
666,1982,11,03,0.419271
667,1982,11,04,0.40625
668,1982,11,05,0.414063
669,1982,11,08,0.398438
670,1982,11,09,0.416667
671,1982,11,10,0.416667
672,1982,11,11,0.419271
673,1982,11,12,0.419271
674,1982,11,15,0.401042
675,1982,11,16,0.398438
676,1982,11,17,0.385417
677,1982,11,18,0.380208
678,1982,11,19,0.367188
679,1982,11,22,0.348958
680,1982,11,23,0.348958
681,1982,11,24,0.356771
682,1982,11,26,0.372396
683,1982,11,29,0.372396
684,1982,11,30,0.398438
685,1982,12,01,0.398438
686,1982,12,02,0.398438
687,1982,12,03,0.40625
688,1982,12,06,0.416667
689,1982,12,07,0.414063
690,1982,12,08,0.40625
691,1982,12,09,0.375
692,1982,12,10,0.361979
693,1982,12,13,0.36849
694,1982,12,14,0.367188
695,1982,12,15,0.361979
696,1982,12,16,0.372396
697,1982,12,17,0.388021
698,1982,12,20,0.388021
699,1982,12,21,0.380208
700,1982,12,22,0.411458
701,1982,12,23,0.414063
702,1982,12,27,0.408854
703,1982,12,28,0.398438
704,1982,12,29,0.398438
705,1982,12,30,0.401042
706,1982,12,31,0.403646
707,1983,01,03,0.388021
708,1983,01,04,0.398438
709,1983,01,05,0.395833
710,1983,01,06,0.419271
711,1983,01,07,0.419271
712,1983,01,10,0.416667
713,1983,01,11,0.421875
714,1983,01,12,0.445313
715,1983,01,13,0.455729
716,1983,01,14,0.479167
717,1983,01,17,0.481771
718,1983,01,18,0.479167
719,1983,01,19,0.477865
720,1983,01,20,0.466146
721,1983,01,21,0.4375
722,1983,01,24,0.424479
723,1983,01,25,0.434896
724,1983,01,26,0.429688
725,1983,01,27,0.442708
726,1983,01,28,0.445313
727,1983,01,31,0.447917
728,1983,02,01,0.453125
729,1983,02,02,0.453125
730,1983,02,03,0.458333
731,1983,02,04,0.479167
732,1983,02,07,0.466146
733,1983,02,08,0.463542
734,1983,02,09,0.460938
735,1983,02,10,0.471354
736,1983,02,11,0.460938
737,1983,02,14,0.46875
738,1983,02,15,0.471354
739,1983,02,16,0.463542
740,1983,02,17,0.460938
741,1983,02,18,0.471354
742,1983,02,22,0.466146
743,1983,02,23,0.471354
744,1983,02,24,0.479167
745,1983,02,25,0.489583
746,1983,02,28,0.484375
747,1983,03,01,0.476563
748,1983,03,02,0.46875
749,1983,03,03,0.466146
750,1983,03,04,0.450521
751,1983,03,07,0.450521
752,1983,03,08,0.432292
753,1983,03,09,0.450521
754,1983,03,10,0.447917
755,1983,03,11,0.455729
756,1983,03,14,0.466146
757,1983,03,15,0.479167
758,1983,03,16,0.492188
759,1983,03,17,0.486979
760,1983,03,18,0.486979
761,1983,03,21,0.47526
762,1983,03,22,0.486979
763,1983,03,23,0.494792
764,1983,03,24,0.49349
765,1983,03,25,0.49349
766,1983,03,28,0.486979
767,1983,03,29,0.489583
768,1983,03,30,0.497396
769,1983,03,31,0.502604
770,1983,04,04,0.486979
771,1983,04,05,0.473958
772,1983,04,06,0.455729
773,1983,04,07,0.458333
774,1983,04,08,0.455729
775,1983,04,11,0.479167
776,1983,04,12,0.492188
777,1983,04,13,0.497396
778,1983,04,14,0.505208
779,1983,04,15,0.505208
780,1983,04,18,0.497396
781,1983,04,19,0.486979
782,1983,04,20,0.489583
783,1983,04,21,0.489583
784,1983,04,22,0.476563
785,1983,04,25,0.473958
786,1983,04,26,0.497396
787,1983,04,27,0.497396
788,1983,04,28,0.505208
789,1983,04,29,0.515625
790,1983,05,02,0.505208
791,1983,05,03,0.507813
792,1983,05,04,0.526042
793,1983,05,05,0.546875
794,1983,05,06,0.580729
795,1983,05,09,0.5898439999999999
796,1983,05,10,0.596354
797,1983,05,11,0.575521
798,1983,05,12,0.565104
799,1983,05,13,0.570313
800,1983,05,16,0.559896
801,1983,05,17,0.559896
802,1983,05,18,0.565104
803,1983,05,19,0.570313
804,1983,05,20,0.598958
805,1983,05,23,0.604167
806,1983,05,24,0.617188
807,1983,05,25,0.619792
808,1983,05,26,0.614583
809,1983,05,27,0.609375
810,1983,05,31,0.596354
811,1983,06,01,0.583333
812,1983,06,02,0.585938
813,1983,06,03,0.591146
814,1983,06,06,0.601563
815,1983,06,07,0.604167
816,1983,06,08,0.598958
817,1983,06,09,0.59375
818,1983,06,10,0.588542
819,1983,06,13,0.614583
820,1983,06,14,0.625
821,1983,06,15,0.627604
822,1983,06,16,0.669271
823,1983,06,17,0.666667
824,1983,06,20,0.658854
825,1983,06,21,0.695313
826,1983,06,22,0.794271
827,1983,06,23,0.776042
828,1983,06,24,0.776042
829,1983,06,27,0.757813
830,1983,06,28,0.721354
831,1983,06,29,0.755208
832,1983,06,30,0.776042
833,1983,07,01,0.791667
834,1983,07,05,0.760417
835,1983,07,06,0.78125
836,1983,07,07,0.786458
837,1983,07,08,0.786458
838,1983,07,11,0.822917
839,1983,07,12,0.817708
840,1983,07,13,0.796875
841,1983,07,14,0.765625
842,1983,07,15,0.760417
843,1983,07,18,0.75
844,1983,07,19,0.770833
845,1983,07,20,0.817708
846,1983,07,21,0.875
847,1983,07,22,0.885417
848,1983,07,25,0.932292
849,1983,07,26,0.942708
850,1983,07,27,0.880208
851,1983,07,28,0.833333
852,1983,07,29,0.838542
853,1983,08,01,0.833333
854,1983,08,02,0.817708
855,1983,08,03,0.848958
856,1983,08,04,0.8125
857,1983,08,05,0.8125
858,1983,08,08,0.755208
859,1983,08,09,0.802083
860,1983,08,10,0.802083
861,1983,08,11,0.802083
862,1983,08,12,0.807292
863,1983,08,15,0.817708
864,1983,08,16,0.8125
865,1983,08,17,0.807292
866,1983,08,18,0.796875
867,1983,08,19,0.791667
868,1983,08,22,0.786458
869,1983,08,23,0.776042
870,1983,08,24,0.770833
871,1983,08,25,0.770833
872,1983,08,26,0.791667
873,1983,08,29,0.796875
874,1983,08,30,0.809896
875,1983,08,31,0.854167
876,1983,09,01,0.901042
877,1983,09,02,0.927083
878,1983,09,06,0.932292
879,1983,09,07,0.895833
880,1983,09,08,0.927083
881,1983,09,09,0.921875
882,1983,09,12,0.880208
883,1983,09,13,0.875
884,1983,09,14,0.859375
885,1983,09,15,0.859375
886,1983,09,16,0.864583
887,1983,09,19,0.885417
888,1983,09,20,0.911458
889,1983,09,21,0.911458
890,1983,09,22,0.895833
891,1983,09,23,0.890625
892,1983,09,26,0.901042
893,1983,09,27,0.901042
894,1983,09,28,0.90625
895,1983,09,29,0.901042
896,1983,09,30,0.859375
897,1983,10,03,0.848958
898,1983,10,04,0.84375
899,1983,10,05,0.838542
900,1983,10,06,0.869792
901,1983,10,07,0.880208
902,1983,10,10,0.90625
903,1983,10,11,0.895833
904,1983,10,12,0.869792
905,1983,10,13,0.864583
906,1983,10,14,0.848958
907,1983,10,17,0.84375
908,1983,10,18,0.796875
909,1983,10,19,0.786458
910,1983,10,20,0.8125
911,1983,10,21,0.802083
912,1983,10,24,0.796875
913,1983,10,25,0.822917
914,1983,10,26,0.802083
915,1983,10,27,0.8125
